Dead Variable with AST. Total elapse time: 22.584 seconds.
Variable ; INCLUDE_DEPENDENT has 0 references ; com.google.refine.browsing.Engine (line:62) ; dead variable
Variable ; count has 0 references ; com.google.refine.browsing.facets.ListFacet (line:137) ; dead variable
Variable ; MIN has 0 references ; com.google.refine.browsing.facets.RangeFacet (line:175) ; dead variable
Variable ; MAX has 0 references ; com.google.refine.browsing.facets.RangeFacet (line:176) ; dead variable
Variable ; TO has 0 references ; com.google.refine.browsing.facets.RangeFacet (line:177) ; dead variable
Variable ; FROM has 0 references ; com.google.refine.browsing.facets.RangeFacet (line:178) ; dead variable
Variable ; _baseNumericCount has 0 references ; com.google.refine.browsing.facets.RangeFacet (line:155) ; dead variable
Variable ; _baseNonNumericCount has 0 references ; com.google.refine.browsing.facets.RangeFacet (line:157) ; dead variable
Variable ; _baseBlankCount has 0 references ; com.google.refine.browsing.facets.RangeFacet (line:159) ; dead variable
Variable ; _baseErrorCount has 0 references ; com.google.refine.browsing.facets.RangeFacet (line:161) ; dead variable
Variable ; _numericCount has 0 references ; com.google.refine.browsing.facets.RangeFacet (line:164) ; dead variable
Variable ; _nonNumericCount has 0 references ; com.google.refine.browsing.facets.RangeFacet (line:166) ; dead variable
Variable ; NAME has 0 references ; com.google.refine.browsing.facets.ScatterplotFacet (line:187) ; dead variable
Variable ; COLOR has 0 references ; com.google.refine.browsing.facets.ScatterplotFacet (line:189) ; dead variable
Variable ; BASE_COLOR has 0 references ; com.google.refine.browsing.facets.ScatterplotFacet (line:190) ; dead variable
Variable ; SIZE has 0 references ; com.google.refine.browsing.facets.ScatterplotFacet (line:191) ; dead variable
Variable ; DOT has 0 references ; com.google.refine.browsing.facets.ScatterplotFacet (line:193) ; dead variable
Variable ; DIM_X has 0 references ; com.google.refine.browsing.facets.ScatterplotFacet (line:194) ; dead variable
Variable ; DIM_Y has 0 references ; com.google.refine.browsing.facets.ScatterplotFacet (line:195) ; dead variable
Variable ; X_COLUMN_NAME has 0 references ; com.google.refine.browsing.facets.ScatterplotFacet (line:197) ; dead variable
Variable ; X_EXPRESSION has 0 references ; com.google.refine.browsing.facets.ScatterplotFacet (line:198) ; dead variable
Variable ; MIN_X has 0 references ; com.google.refine.browsing.facets.ScatterplotFacet (line:199) ; dead variable
Variable ; MAX_X has 0 references ; com.google.refine.browsing.facets.ScatterplotFacet (line:200) ; dead variable
Variable ; TO_X has 0 references ; com.google.refine.browsing.facets.ScatterplotFacet (line:201) ; dead variable
Variable ; FROM_X has 0 references ; com.google.refine.browsing.facets.ScatterplotFacet (line:202) ; dead variable
Variable ; ERROR_X has 0 references ; com.google.refine.browsing.facets.ScatterplotFacet (line:203) ; dead variable
Variable ; Y_COLUMN_NAME has 0 references ; com.google.refine.browsing.facets.ScatterplotFacet (line:205) ; dead variable
Variable ; Y_EXPRESSION has 0 references ; com.google.refine.browsing.facets.ScatterplotFacet (line:206) ; dead variable
Variable ; MIN_Y has 0 references ; com.google.refine.browsing.facets.ScatterplotFacet (line:207) ; dead variable
Variable ; MAX_Y has 0 references ; com.google.refine.browsing.facets.ScatterplotFacet (line:208) ; dead variable
Variable ; TO_Y has 0 references ; com.google.refine.browsing.facets.ScatterplotFacet (line:209) ; dead variable
Variable ; FROM_Y has 0 references ; com.google.refine.browsing.facets.ScatterplotFacet (line:210) ; dead variable
Variable ; ERROR_Y has 0 references ; com.google.refine.browsing.facets.ScatterplotFacet (line:211) ; dead variable
Variable ; rotation_str has 0 references ; com.google.refine.browsing.facets.ScatterplotFacet (line:102) ; dead variable
Variable ; MIN has 0 references ; com.google.refine.browsing.facets.TimeRangeFacet (line:139) ; dead variable
Variable ; MAX has 0 references ; com.google.refine.browsing.facets.TimeRangeFacet (line:140) ; dead variable
Variable ; TO has 0 references ; com.google.refine.browsing.facets.TimeRangeFacet (line:141) ; dead variable
Variable ; FROM has 0 references ; com.google.refine.browsing.facets.TimeRangeFacet (line:142) ; dead variable
Variable ; _baseTimeCount has 0 references ; com.google.refine.browsing.facets.TimeRangeFacet (line:122) ; dead variable
