Dead Variable with AST. Total elapse time: 920.513 seconds.
Variable ; serialVersionUID has 0 references ; name.abuchen.portfolio.datatransfer.csv.CSVImporter (line:467) ; dead variable
Variable ; serialVersionUID has 0 references ; name.abuchen.portfolio.datatransfer.csv.CSVImporter (line:563) ; dead variable
Variable ; index has 0 references ; name.abuchen.portfolio.datatransfer.csv.CSVImporter (line:878) ; dead variable
Variable ; net has 0 references ; name.abuchen.portfolio.datatransfer.pdf.DegiroPDFExtractor (line:314) ; dead variable
Variable ; EDITED has 0 references ; name.abuchen.portfolio.events.ChangeEventConstants (line:7) ; dead variable
Variable ; type has 0 references ; name.abuchen.portfolio.json.JTransaction (line:279) ; dead variable
Variable ; fxi has 0 references ; name.abuchen.portfolio.math.NewtonGoalSeek (line:31) ; dead variable
Variable ; fdxi has 0 references ; name.abuchen.portfolio.math.NewtonGoalSeek (line:32) ; dead variable
Variable ; CSVColumn_InboundTransferals has 0 references ; name.abuchen.portfolio.Messages (line:32) ; dead variable
Variable ; CSVColumn_DeltaInPercent has 0 references ; name.abuchen.portfolio.Messages (line:50) ; dead variable
Variable ; CSVColumn_OutboundTransferals has 0 references ; name.abuchen.portfolio.Messages (line:55) ; dead variable
Variable ; CSVColumn_Transferals has 0 references ; name.abuchen.portfolio.Messages (line:57) ; dead variable
Variable ; CSVDefAccountTransactions has 0 references ; name.abuchen.portfolio.Messages (line:58) ; dead variable
Variable ; CSVDefPortfolio has 0 references ; name.abuchen.portfolio.Messages (line:60) ; dead variable
Variable ; CSVDefPortfolioTransactions has 0 references ; name.abuchen.portfolio.Messages (line:61) ; dead variable
Variable ; CSVDefSecurities has 0 references ; name.abuchen.portfolio.Messages (line:62) ; dead variable
Variable ; CSVImportSecurityExists has 0 references ; name.abuchen.portfolio.Messages (line:84) ; dead variable
Variable ; IssueMissingBuySellInAccount has 0 references ; name.abuchen.portfolio.Messages (line:116) ; dead variable
Variable ; IssueMissingPortfolioTransfer has 0 references ; name.abuchen.portfolio.Messages (line:119) ; dead variable
Variable ; LabelApplyClientCalendar has 0 references ; name.abuchen.portfolio.Messages (line:135) ; dead variable
Variable ; LabelSearchAll has 0 references ; name.abuchen.portfolio.Messages (line:149) ; dead variable
Variable ; LabelSearchBond has 0 references ; name.abuchen.portfolio.Messages (line:150) ; dead variable
Variable ; LabelSearchShare has 0 references ; name.abuchen.portfolio.Messages (line:151) ; dead variable
Variable ; LabelTransferAccount has 0 references ; name.abuchen.portfolio.Messages (line:169) ; dead variable
Variable ; MsgErrorNoCrumbFound has 0 references ; name.abuchen.portfolio.Messages (line:214) ; dead variable
Variable ; MsgErrorsConvertingValue has 0 references ; name.abuchen.portfolio.Messages (line:222) ; dead variable
Variable ; MsgErrorUnexpectedStatusCode has 0 references ; name.abuchen.portfolio.Messages (line:228) ; dead variable
Variable ; MsgMissingResponse has 0 references ; name.abuchen.portfolio.Messages (line:236) ; dead variable
Variable ; MsgNoResults has 0 references ; name.abuchen.portfolio.Messages (line:244) ; dead variable
Variable ; MsgResponseContainsNoIndices has 0 references ; name.abuchen.portfolio.Messages (line:250) ; dead variable
Variable ; MsgUnexpectedSymbol has 0 references ; name.abuchen.portfolio.Messages (line:252) ; dead variable
Variable ; PDFdbLabel has 0 references ; name.abuchen.portfolio.Messages (line:256) ; dead variable
Variable ; serialVersionUID has 0 references ; name.abuchen.portfolio.model.AccountTransaction (line:55) ; dead variable
Variable ; MAXIMUM_SIZE_EMBEDDED_IMAGE has 0 references ; name.abuchen.portfolio.model.AttributeType (line:340) ; dead variable
Variable ; VIRTUAL_ROOT has 0 references ; name.abuchen.portfolio.model.Classification (line:88) ; dead variable
Variable ; size has 0 references ; name.abuchen.portfolio.model.Classification (line:412) ; dead variable
Variable ; VERSION_WITH_CURRENCY_SUPPORT has 0 references ; name.abuchen.portfolio.model.Client (line:28) ; dead variable
Variable ; AES128_KEYLENGTH has 0 references ; name.abuchen.portfolio.model.ClientFactory (line:200) ; dead variable
Variable ; AES256_KEYLENGTH has 0 references ; name.abuchen.portfolio.model.ClientFactory (line:201) ; dead variable
Variable ; serialVersionUID has 0 references ; name.abuchen.portfolio.model.Named (line:13) ; dead variable
Variable ; serialVersionUID has 0 references ; name.abuchen.portfolio.model.Security (line:33) ; dead variable
Variable ; isAdded has 0 references ; name.abuchen.portfolio.model.Security (line:399) ; dead variable
Variable ; serialVersionUID has 0 references ; name.abuchen.portfolio.model.SecurityPrice (line:14) ; dead variable
Variable ; serialVersionUID has 0 references ; name.abuchen.portfolio.model.Transaction (line:137) ; dead variable
Variable ; serialVersionUID has 0 references ; name.abuchen.portfolio.model.TransactionPair (line:17) ; dead variable
Variable ; EMPTY has 0 references ; name.abuchen.portfolio.money.CurrencyUnit (line:20) ; dead variable
Variable ; serialVersionUID has 0 references ; name.abuchen.portfolio.money.ExchangeRate (line:15) ; dead variable
Variable ; serialVersionUID has 0 references ; name.abuchen.portfolio.money.MonetaryException (line:5) ; dead variable
Variable ; AmountPlain has 0 references ; name.abuchen.portfolio.money.Values (line:229) ; dead variable
Variable ; AmountShort has 0 references ; name.abuchen.portfolio.money.Values (line:240) ; dead variable
Variable ; Index has 0 references ; name.abuchen.portfolio.money.Values (line:275) ; dead variable
Variable ; Thousands has 0 references ; name.abuchen.portfolio.money.Values (line:313) ; dead variable
Variable ; PercentShort has 0 references ; name.abuchen.portfolio.money.Values (line:334) ; dead variable
Variable ; PercentPlain has 0 references ; name.abuchen.portfolio.money.Values (line:343) ; dead variable
Variable ; WeightPercent has 0 references ; name.abuchen.portfolio.money.Values (line:361) ; dead variable
Variable ; Percent2 has 0 references ; name.abuchen.portfolio.money.Values (line:370) ; dead variable
Variable ; Percent5 has 0 references ; name.abuchen.portfolio.money.Values (line:379) ; dead variable
Variable ; Id has 0 references ; name.abuchen.portfolio.money.Values (line:388) ; dead variable
Variable ; Year has 0 references ; name.abuchen.portfolio.money.Values (line:397) ; dead variable
Variable ; tickerStartEpochMilliSeconds has 0 references ; name.abuchen.portfolio.online.impl.BinanceQuoteFeed (line:145) ; dead variable
Variable ; tickerStartEpochSeconds has 0 references ; name.abuchen.portfolio.online.impl.BitfinexQuoteFeed (line:145) ; dead variable
Variable ; listingAsObject has 0 references ; name.abuchen.portfolio.online.impl.ETFDataCom (line:56) ; dead variable
Variable ; item has 0 references ; name.abuchen.portfolio.online.impl.ETFDataCom (line:131) ; dead variable
Variable ; DATE_PROPERTY_NAME_LATEST has 0 references ; name.abuchen.portfolio.online.impl.GenericJSONQuoteFeed (line:42) ; dead variable
Variable ; CLOSE_PROPERTY_NAME_LATEST has 0 references ; name.abuchen.portfolio.online.impl.GenericJSONQuoteFeed (line:43) ; dead variable
Variable ; set has 0 references ; name.abuchen.portfolio.online.impl.PortfolioReportNet (line:45) ; dead variable
Variable ; obj has 0 references ; name.abuchen.portfolio.online.impl.PortfolioReportNet (line:89) ; dead variable
Variable ; account has 0 references ; name.abuchen.portfolio.snapshot.ClientIndex (line:121) ; dead variable
Variable ; portfolio has 0 references ; name.abuchen.portfolio.snapshot.ClientIndex (line:163) ; dead variable
Variable ; TRAIL_VALUE has 0 references ; name.abuchen.portfolio.snapshot.ClientPerformanceSnapshot (line:43) ; dead variable
Variable ; TRAIL_FOREX_GAIN has 0 references ; name.abuchen.portfolio.snapshot.ClientPerformanceSnapshot (line:44) ; dead variable
Variable ; earningsCategory has 0 references ; name.abuchen.portfolio.snapshot.ClientPerformanceSnapshot (line:460) ; dead variable
Variable ; amount has 0 references ; name.abuchen.portfolio.snapshot.filter.ClientClassificationFilter (line:274) ; dead variable
Variable ; NO_FILTER has 0 references ; name.abuchen.portfolio.snapshot.filter.ClientFilter (line:15) ; dead variable
Variable ; amount has 0 references ; name.abuchen.portfolio.snapshot.filter.ClientSecurityFilter (line:166) ; dead variable
Variable ; sharePriceAmount has 0 references ; name.abuchen.portfolio.snapshot.security.DividendCalculation (line:84) ; dead variable
Variable ; insignificantYears has 0 references ; name.abuchen.portfolio.snapshot.security.DividendCalculation (line:120) ; dead variable
Variable ; years has 0 references ; name.abuchen.portfolio.snapshot.security.DividendCalculation (line:131) ; dead variable
Variable ; expectedAmount has 0 references ; name.abuchen.portfolio.snapshot.security.DividendCalculation (line:159) ; dead variable
Variable ; FIFO_COST has 0 references ; name.abuchen.portfolio.snapshot.security.SecurityPerformanceRecord (line:56) ; dead variable
Variable ; REALIZED_CAPITAL_GAINS_FOREX has 0 references ; name.abuchen.portfolio.snapshot.security.SecurityPerformanceRecord (line:58) ; dead variable
Variable ; UNREALIZED_CAPITAL_GAINS has 0 references ; name.abuchen.portfolio.snapshot.security.SecurityPerformanceRecord (line:59) ; dead variable
Variable ; UNREALIZED_CAPITAL_GAINS_FOREX has 0 references ; name.abuchen.portfolio.snapshot.security.SecurityPerformanceRecord (line:60) ; dead variable
Variable ; valuation has 0 references ; name.abuchen.portfolio.snapshot.SecurityIndex (line:102) ; dead variable
Variable ; serialVersionUID has 0 references ; name.abuchen.portfolio.snapshot.trades.TradeCollectorException (line:5) ; dead variable
Variable ; serialVersionUID has 0 references ; name.abuchen.portfolio.util.RateLimitExceededException (line:9) ; dead variable
Variable ; PARAGRAPH_BREAK has 0 references ; name.abuchen.portfolio.util.TextUtil (line:12) ; dead variable
Variable ; tokenResolver has 0 references ; name.abuchen.portfolio.util.TokenReplacingReader (line:20) ; dead variable
Variable ; serialVersionUID has 0 references ; name.abuchen.portfolio.util.WebAccess (line:99) ; dead variable
Total Dead Variable Count : 89
