Variable ; MAX_POSSIBLE_NAME_LENGTH has 0 references ; D:\Project\openSource\Signal-Android-5.3.10\libsignal\service\src\main\java\org\whispersystems\signalservice\api\crypto\ProfileCipher.java(line:30) ; dead variable
Variable ; MAX_POSSIBLE_ABOUT_LENGTH has 0 references ; D:\Project\openSource\Signal-Android-5.3.10\libsignal\service\src\main\java\org\whispersystems\signalservice\api\crypto\ProfileCipher.java(line:31) ; dead variable
Variable ; TAG has 0 references ; D:\Project\openSource\Signal-Android-5.3.10\libsignal\service\src\main\java\org\whispersystems\signalservice\api\crypto\SignalServiceCipher.java(line:63) ; dead variable
Variable ; detailsLength has 0 references ; D:\Project\openSource\Signal-Android-5.3.10\libsignal\service\src\main\java\org\whispersystems\signalservice\api\messages\multidevice\DeviceContactsInputStream.java(line:34) ; dead variable
Variable ; detailsLength has 0 references ; D:\Project\openSource\Signal-Android-5.3.10\libsignal\service\src\main\java\org\whispersystems\signalservice\api\messages\multidevice\DeviceGroupsInputStream.java(line:29) ; dead variable
Variable ; MAC_KEY_SIZE has 0 references ; D:\Project\openSource\Signal-Android-5.3.10\libsignal\service\src\main\java\org\whispersystems\signalservice\api\messages\SignalServiceEnvelope.java(line:48) ; dead variable
Variable ; userAgent has 0 references ; D:\Project\openSource\Signal-Android-5.3.10\libsignal\service\src\main\java\org\whispersystems\signalservice\api\SignalServiceAccountManager.java(line:111) ; dead variable
Variable ; isSigLinkable has 0 references ; D:\Project\openSource\Signal-Android-5.3.10\libsignal\service\src\main\java\org\whispersystems\signalservice\internal\contacts\crypto\Quote.java(line:19) ; dead variable
Variable ; gid has 0 references ; D:\Project\openSource\Signal-Android-5.3.10\libsignal\service\src\main\java\org\whispersystems\signalservice\internal\contacts\crypto\Quote.java(line:20) ; dead variable
Variable ; qeSvn has 0 references ; D:\Project\openSource\Signal-Android-5.3.10\libsignal\service\src\main\java\org\whispersystems\signalservice\internal\contacts\crypto\Quote.java(line:21) ; dead variable
Variable ; pceSvn has 0 references ; D:\Project\openSource\Signal-Android-5.3.10\libsignal\service\src\main\java\org\whispersystems\signalservice\internal\contacts\crypto\Quote.java(line:22) ; dead variable
Variable ; isvProdId has 0 references ; D:\Project\openSource\Signal-Android-5.3.10\libsignal\service\src\main\java\org\whispersystems\signalservice\internal\contacts\crypto\Quote.java(line:29) ; dead variable
Variable ; isvSvn has 0 references ; D:\Project\openSource\Signal-Android-5.3.10\libsignal\service\src\main\java\org\whispersystems\signalservice\internal\contacts\crypto\Quote.java(line:30) ; dead variable
Variable ; SGX_FLAGS_PROVISION_KEY has 0 references ; D:\Project\openSource\Signal-Android-5.3.10\libsignal\service\src\main\java\org\whispersystems\signalservice\internal\contacts\crypto\Quote.java(line:11) ; dead variable
Variable ; SGX_FLAGS_EINITTOKEN_KEY has 0 references ; D:\Project\openSource\Signal-Android-5.3.10\libsignal\service\src\main\java\org\whispersystems\signalservice\internal\contacts\crypto\Quote.java(line:12) ; dead variable
Variable ; SGX_XFRM_LEGACY has 0 references ; D:\Project\openSource\Signal-Android-5.3.10\libsignal\service\src\main\java\org\whispersystems\signalservice\internal\contacts\crypto\Quote.java(line:14) ; dead variable
Variable ; SGX_XFRM_AVX has 0 references ; D:\Project\openSource\Signal-Android-5.3.10\libsignal\service\src\main\java\org\whispersystems\signalservice\internal\contacts\crypto\Quote.java(line:15) ; dead variable
Variable ; TAG has 0 references ; D:\Project\openSource\Signal-Android-5.3.10\libsignal\service\src\main\java\org\whispersystems\signalservice\internal\crypto\ProvisioningCipher.java(line:33) ; dead variable
Variable ; backupCredentials has 0 references ; D:\Project\openSource\Signal-Android-5.3.10\libsignal\service\src\main\java\org\whispersystems\signalservice\internal\push\PushServiceSocket.java(line:1931) ; dead variable
Variable ; DIRECTORY_FEEDBACK_PATH has 0 references ; D:\Project\openSource\Signal-Android-5.3.10\libsignal\service\src\main\java\org\whispersystems\signalservice\internal\push\PushServiceSocket.java(line:184) ; dead variable
Variable ; paddingStart has 0 references ; D:\Project\openSource\Signal-Android-5.3.10\libsignal\service\src\main\java\org\whispersystems\signalservice\internal\push\PushTransportDetails.java(line:26) ; dead variable
Variable ; idx has 0 references ; D:\Project\openSource\Signal-Android-5.3.10\libsignal\service\src\main\java\org\whispersystems\signalservice\internal\util\Hex.java(line:100) ; dead variable
Variable ; idx has 0 references ; D:\Project\openSource\Signal-Android-5.3.10\libsignal\service\src\main\java\org\whispersystems\signalservice\internal\util\Hex.java(line:113) ; dead variable
Variable ; ASCII_TEXT_START has 0 references ; D:\Project\openSource\Signal-Android-5.3.10\libsignal\service\src\main\java\org\whispersystems\signalservice\internal\util\Hex.java(line:17) ; dead variable
Variable ; len34 has 0 references ; D:\Project\openSource\Signal-Android-5.3.10\libsignal\service\src\main\java\org\whispersystems\util\Base64.java(line:1187) ; dead variable
