============ Dead Class ===========
 Total Dead class: 65
Interface ExitCodeExceptionMapper has 0 reference.
Interface RegistrationBeanAdapter has 0 reference.
Interface DeterminableImports has 0 reference.
Interface TaskExecutorCustomizer has 0 reference.
Interface RSocketStrategiesCustomizer has 0 reference.
Interface DocumentFilterFactory has 0 reference.
Interface RestTemplateRequestCustomizer has 0 reference.
Interface WebServerFactoryTwo has 0 reference.
Interface NettyRouteProvider has 0 reference.
Interface SslStoreProvider has 0 reference.
Interface ElementCharPredicate has 0 reference.
Interface RestTemplateCustomizer has 0 reference.
Interface DocumentFilter has 0 reference.
Interface WebListenerRegistry has 0 reference.
Interface InstanceSupplier has 0 reference.
Interface WebServerFactoryOne has 0 reference.
Interface ServletWebServerFactory has 0 reference.
Interface BlockedPortAction has 0 reference.
Interface DataObjectPropertyBinder has 0 reference.
Interface ErrorPageRegistrar has 0 reference.
Interface GenericMultiArgFactory has 0 reference.
Interface ConfigDataLoader has 0 reference.
Interface Chain has 0 reference.
Interface NonGenericCallback has 0 reference.
Interface StringBuilderFactory has 0 reference.
Interface WebServerApplicationContext has 0 reference.
Interface StringCallback has 0 reference.
Interface NonGenericFactory has 0 reference.
Interface BootstrapContext has 0 reference.
Interface ErrorController has 0 reference.
Interface CompressionPredicate has 0 reference.
Interface UndertowDeploymentInfoCustomizer has 0 reference.
Interface Bootstrapper has 0 reference.
Interface MethodValidationExcludeFilter has 0 reference.
Interface AvailabilityState has 0 reference.
Interface WebClientCustomizer has 0 reference.
Interface AggregateElementBinder has 0 reference.
Interface LazyInitializationExcludeFilter has 0 reference.
Interface CloseableHttpHandler has 0 reference.
Interface GracefulShutdownCallback has 0 reference.
Interface WebServerFactoryCustomizer has 0 reference.
Interface StringFactory has 0 reference.
Interface GenericFactory has 0 reference.
Interface ReactiveWebServerFactory has 0 reference.
Interface TaskSchedulerCustomizer has 0 reference.
Interface ErrorWebExceptionHandler has 0 reference.
Interface DocumentConsumer has 0 reference.
Interface FilterHandler has 0 reference.
Interface ConfigDataLocationResolver has 0 reference.
Interface AvailableParameters has 0 reference.
Interface StringBuilderCallback has 0 reference.
Interface CodecCustomizer has 0 reference.
Interface WebServerFactory has 0 reference.
Interface SchemaManagementProvider has 0 reference.
Interface ReactiveWebApplicationContext has 0 reference.
Interface GenericMultiArgCallback has 0 reference.
Interface SourceOperator has 0 reference.
Interface RSocketServerCustomizer has 0 reference.
Interface GenericCallback has 0 reference.
Interface ApplicationContextFactory has 0 reference.
Interface GroovyBeanDefinitionSource has 0 reference.
Interface BootstrapRegistry has 0 reference.
Interface ClassLoaderConsumer has 0 reference.
Interface OriginLookup has 0 reference.
Interface TomcatProtocolHandlerCustomizer has 0 reference.
