============ Dead Class ===========
 Total Dead class: 724
Class ExampleGenericConverter has 0 reference.
Class BeanGroup has 0 reference.
Class InnerConfiguration has 0 reference.
Class MessageInterpolatorFactoryTests has 0 reference.
Class NotLazyInitializationConfig has 0 reference.
Class MustacheViewTests has 0 reference.
Class NonAnnotatedBeanImportConfiguration has 0 reference.
Class CycleReferencedViaOtherBeansConfiguration has 0 reference.
Class JacksonJsonParserTests has 0 reference.
Class OriginTrackedFieldErrorTests has 0 reference.
Class LazyInitializationConfig has 0 reference.
Class ExtendedWhitespaceThrowableProxyConverterTests has 0 reference.
Class BadEnvironmentPostProcessor has 0 reference.
Class BindableTests has 0 reference.
Class DeferredLogFactoryTests has 0 reference.
Class OriginTrackedResourceTests has 0 reference.
Class SpringIterableConfigurationPropertySourceTests has 0 reference.
Class StringToDurationConverterTests has 0 reference.
Class BasicPropertiesConsumer has 0 reference.
Class PeriodStyleTests has 0 reference.
Class ConfigDataResourceNotFoundExceptionTests has 0 reference.
Class UserConfigurationsTests has 0 reference.
Class LazyInitializationExcludeFilterConfig has 0 reference.
Class InvalidConfigurationPropertyNameFailureAnalyzerTests has 0 reference.
Class ServletContextApplicationContextInitializerTests has 0 reference.
Class Ansi8BitColorTests has 0 reference.
Class ConstructorBindingOnConstructor has 0 reference.
Class ServletRegistrationBeanTests has 0 reference.
Class AnsiOutput has 0 reference.
Class ConfigDataEnvironmentPostProcessorTests has 0 reference.
Class SslServerCustomizerTests has 0 reference.
Class ExamplePrinter has 0 reference.
Class GenericValue has 0 reference.
Class LogbackLoggingSystemTests has 0 reference.
Class TestMultipartServlet has 0 reference.
Class PersonPropertyEditor has 0 reference.
Class NoSpringWebFilterRegistrationBeanTests has 0 reference.
Class WebServerApplicationContextTests has 0 reference.
Class LogbackLoggingSystemPropertiesTests has 0 reference.
Class NameAndAgeJsonKeyComponent has 0 reference.
Class PrefixConfiguration has 0 reference.
Class NewBean has 0 reference.
Class StandardConfigDataLocationResolverTests has 0 reference.
Class ConfigDataActivationContextTests has 0 reference.
Class ExampleWebConfig has 0 reference.
Class DurationToNumberConverterTests has 0 reference.
Class LazyInitializationExcludeFilterTests has 0 reference.
Class AbstractDataSourceInitializer has 0 reference.
Class JavaBeanBoundProperties has 0 reference.
Class WebServerPortFileWriterTests has 0 reference.
Class ParentProducer has 0 reference.
Class Encoding has 0 reference.
Class PropertySourcesPlaceholderConfigurerConfiguration has 0 reference.
Class UndertowServletWebServerFactoryTests has 0 reference.
Class JavaVersionTests has 0 reference.
Class WhitespaceThrowableProxyConverterTests has 0 reference.
Class SpringBootConfigurationFactoryTests has 0 reference.
Class ConfigDataLoaderTests has 0 reference.
Class ApplicationContextRequestMatcherTests has 0 reference.
Class OverrideConfig has 0 reference.
Class TestLogEnvironmentPostProcessor has 0 reference.
Class CyclicBeanMethodsConfiguration has 0 reference.
Class NestedConstructorBeanWithEmptyDefaultValueForJavaLangTypes has 0 reference.
Class LocationResourceLoaderTests has 0 reference.
Class InitParametersFilter has 0 reference.
Class DataSourceUnwrapper has 0 reference.
Class WithUnsupportedCustomValidatorConfiguration has 0 reference.
Class ServletWebServerApplicationContextTests has 0 reference.
Class CustomConverterConfiguration has 0 reference.
Class CollectionBinderTests has 0 reference.
Class BarTestBean has 0 reference.
Class SpringProfileActionTests has 0 reference.
Class UnboundConfigurationPropertyFailureAnalyzerTests has 0 reference.
Class SimpleMainTests has 0 reference.
Class TomcatServletWebServerFactoryTests has 0 reference.
Class JavaBeanBinderTests has 0 reference.
Class NonLoadableConfigDataLoader has 0 reference.
Class IgnoreUnknownFieldsFalseIgnoreInvalidFieldsTrueProperties has 0 reference.
Class ConfigDataEnvironmentContributorsTests has 0 reference.
Class InDefaultPackageWithoutScanConfiguration has 0 reference.
Class AnnotatedGenericBean has 0 reference.
