Variable ; realHeight has 0 references ; D:\Project\openSource\bitcoin-wallet-5.45\wallet\src\de\schildbach\wallet\camera\CameraManager.java(line:207) ; dead variable
Variable ; WALLET_AUTOSAVE_DELAY_MS has 0 references ; D:\Project\openSource\bitcoin-wallet-5.45\wallet\src\de\schildbach\wallet\Constants.java(line:71) ; dead variable
Variable ; EXTERNAL_STORAGE_DIR has 0 references ; D:\Project\openSource\bitcoin-wallet-5.45\wallet\src\de\schildbach\wallet\Constants.java(line:80) ; dead variable
Variable ; EXTERNAL_WALLET_KEY_BACKUP has 0 references ; D:\Project\openSource\bitcoin-wallet-5.45\wallet\src\de\schildbach\wallet\Constants.java(line:87) ; dead variable
Variable ; WALLET_NAME_CURRENCY_CODE has 0 references ; D:\Project\openSource\bitcoin-wallet-5.45\wallet\src\de\schildbach\wallet\Constants.java(line:113) ; dead variable
Variable ; DATABASE_NAME has 0 references ; D:\Project\openSource\bitcoin-wallet-5.45\wallet\src\de\schildbach\wallet\data\AddressBookProvider.java(line:182) ; dead variable
Variable ; DATABASE_VERSION has 0 references ; D:\Project\openSource\bitcoin-wallet-5.45\wallet\src\de\schildbach\wallet\data\AddressBookProvider.java(line:183) ; dead variable
Variable ; KEY_ROWID has 0 references ; D:\Project\openSource\bitcoin-wallet-5.45\wallet\src\de\schildbach\wallet\data\AddressBookProvider.java(line:37) ; dead variable
Variable ; exchangeCurrency has 0 references ; D:\Project\openSource\bitcoin-wallet-5.45\wallet\src\de\schildbach\wallet\data\ExchangeRatesLoader.java(line:63) ; dead variable
Variable ; programLength has 0 references ; D:\Project\openSource\bitcoin-wallet-5.45\wallet\src\de\schildbach\wallet\data\PaymentIntent.java(line:132) ; dead variable
Variable ; msgLength has 0 references ; D:\Project\openSource\bitcoin-wallet-5.45\wallet\src\de\schildbach\wallet\offline\AcceptBluetoothThread.java(line:83) ; dead variable
Variable ; ACTION_PEER_STATE_NUM_PEERS has 0 references ; D:\Project\openSource\bitcoin-wallet-5.45\wallet\src\de\schildbach\wallet\service\BlockchainService.java(line:32) ; dead variable
Variable ; notificationCount has 0 references ; D:\Project\openSource\bitcoin-wallet-5.45\wallet\src\de\schildbach\wallet\service\BlockchainServiceImpl.java(line:123) ; dead variable
Variable ; replaying has 0 references ; D:\Project\openSource\bitcoin-wallet-5.45\wallet\src\de\schildbach\wallet\service\BlockchainServiceImpl.java(line:162) ; dead variable
Variable ; CREATOR has 0 references ; D:\Project\openSource\bitcoin-wallet-5.45\wallet\src\de\schildbach\wallet\ui\AddressAndLabel.java(line:91) ; dead variable
Variable ; transactionsViewGroup has 0 references ; D:\Project\openSource\bitcoin-wallet-5.45\wallet\src\de\schildbach\wallet\ui\BlockListAdapter.java(line:240) ; dead variable
Variable ; miningRewardAdjustmentView has 0 references ; D:\Project\openSource\bitcoin-wallet-5.45\wallet\src\de\schildbach\wallet\ui\BlockListAdapter.java(line:241) ; dead variable
Variable ; miningDifficultyAdjustmentView has 0 references ; D:\Project\openSource\bitcoin-wallet-5.45\wallet\src\de\schildbach\wallet\ui\BlockListAdapter.java(line:242) ; dead variable
Variable ; heightView has 0 references ; D:\Project\openSource\bitcoin-wallet-5.45\wallet\src\de\schildbach\wallet\ui\BlockListAdapter.java(line:243) ; dead variable
Variable ; timeView has 0 references ; D:\Project\openSource\bitcoin-wallet-5.45\wallet\src\de\schildbach\wallet\ui\BlockListAdapter.java(line:244) ; dead variable
Variable ; hashView has 0 references ; D:\Project\openSource\bitcoin-wallet-5.45\wallet\src\de\schildbach\wallet\ui\BlockListAdapter.java(line:245) ; dead variable
Variable ; menuView has 0 references ; D:\Project\openSource\bitcoin-wallet-5.45\wallet\src\de\schildbach\wallet\ui\BlockListAdapter.java(line:246) ; dead variable
Variable ; ROW_BASE_CHILD_COUNT has 0 references ; D:\Project\openSource\bitcoin-wallet-5.45\wallet\src\de\schildbach\wallet\ui\BlockListAdapter.java(line:55) ; dead variable
Variable ; significantColor has 0 references ; D:\Project\openSource\bitcoin-wallet-5.45\wallet\src\de\schildbach\wallet\ui\CurrencyAmountView.java(line:59) ; dead variable
Variable ; defaultView has 0 references ; D:\Project\openSource\bitcoin-wallet-5.45\wallet\src\de\schildbach\wallet\ui\ExchangeRatesFragment.java(line:388) ; dead variable
Variable ; currencyCodeView has 0 references ; D:\Project\openSource\bitcoin-wallet-5.45\wallet\src\de\schildbach\wallet\ui\ExchangeRatesFragment.java(line:389) ; dead variable
Variable ; rateView has 0 references ; D:\Project\openSource\bitcoin-wallet-5.45\wallet\src\de\schildbach\wallet\ui\ExchangeRatesFragment.java(line:390) ; dead variable
Variable ; walletView has 0 references ; D:\Project\openSource\bitcoin-wallet-5.45\wallet\src\de\schildbach\wallet\ui\ExchangeRatesFragment.java(line:391) ; dead variable
Variable ; menuView has 0 references ; D:\Project\openSource\bitcoin-wallet-5.45\wallet\src\de\schildbach\wallet\ui\ExchangeRatesFragment.java(line:392) ; dead variable
Variable ; ipView has 0 references ; D:\Project\openSource\bitcoin-wallet-5.45\wallet\src\de\schildbach\wallet\ui\PeerListFragment.java(line:257) ; dead variable
Variable ; heightView has 0 references ; D:\Project\openSource\bitcoin-wallet-5.45\wallet\src\de\schildbach\wallet\ui\PeerListFragment.java(line:258) ; dead variable
Variable ; versionView has 0 references ; D:\Project\openSource\bitcoin-wallet-5.45\wallet\src\de\schildbach\wallet\ui\PeerListFragment.java(line:259) ; dead variable
Variable ; protocolView has 0 references ; D:\Project\openSource\bitcoin-wallet-5.45\wallet\src\de\schildbach\wallet\ui\PeerListFragment.java(line:260) ; dead variable
Variable ; pingView has 0 references ; D:\Project\openSource\bitcoin-wallet-5.45\wallet\src\de\schildbach\wallet\ui\PeerListFragment.java(line:261) ; dead variable
Variable ; maskResultColor has 0 references ; D:\Project\openSource\bitcoin-wallet-5.45\wallet\src\de\schildbach\wallet\ui\ScannerView.java(line:52) ; dead variable
Variable ; wasChanged has 0 references ; D:\Project\openSource\bitcoin-wallet-5.45\wallet\src\de\schildbach\wallet\ui\send\DeriveKeyTask.java(line:63) ; dead variable
Variable ; TRUST_ALL_CERTIFICATES has 0 references ; D:\Project\openSource\bitcoin-wallet-5.45\wallet\src\de\schildbach\wallet\ui\send\RequestWalletBalanceTask.java(line:288) ; dead variable
Variable ; colorBackgroundSelected has 0 references ; D:\Project\openSource\bitcoin-wallet-5.45\wallet\src\de\schildbach\wallet\ui\TransactionsAdapter.java(line:86) ; dead variable
Variable ; colorValuePositve has 0 references ; D:\Project\openSource\bitcoin-wallet-5.45\wallet\src\de\schildbach\wallet\ui\TransactionsAdapter.java(line:88) ; dead variable
Variable ; colorValueNegative has 0 references ; D:\Project\openSource\bitcoin-wallet-5.45\wallet\src\de\schildbach\wallet\ui\TransactionsAdapter.java(line:88) ; dead variable
Variable ; confidenceCircularNormalView has 0 references ; D:\Project\openSource\bitcoin-wallet-5.45\wallet\src\de\schildbach\wallet\ui\TransactionsAdapter.java(line:313) ; dead variable
Variable ; confidenceTextualNormalView has 0 references ; D:\Project\openSource\bitcoin-wallet-5.45\wallet\src\de\schildbach\wallet\ui\TransactionsAdapter.java(line:314) ; dead variable
Variable ; installedFromGooglePlay has 0 references ; D:\Project\openSource\bitcoin-wallet-5.45\wallet\src\de\schildbach\wallet\ui\WalletBalanceFragment.java(line:74) ; dead variable
