Dead Variable with AST. Total elapse time: 133.758 seconds.
Variable ; recordLevels has 0 references ; org.apache.iceberg.avro.AvroCustomOrderSchemaVisitor (line:72) ; dead variable
Variable ; relocated has 0 references ; org.apache.iceberg.avro.AvroIO (line:53) ; dead variable
Variable ; MAP has 0 references ; org.apache.iceberg.avro.AvroSchemaUtil (line:53) ; dead variable
Variable ; ARRAY has 0 references ; org.apache.iceberg.avro.AvroSchemaUtil (line:54) ; dead variable
Variable ; recordLevels has 0 references ; org.apache.iceberg.avro.AvroSchemaVisitor (line:75) ; dead variable
Variable ; recordLevels has 0 references ; org.apache.iceberg.avro.AvroSchemaWithTypeVisitor (line:110) ; dead variable
Variable ; recordLevels has 0 references ; org.apache.iceberg.avro.AvroWithPartnerByStructureVisitor (line:122) ; dead variable
Variable ; nextId has 0 references ; org.apache.iceberg.avro.SchemaToType (line:41) ; dead variable
Variable ; pos has 0 references ; org.apache.iceberg.BaseFile (line:220) ; dead variable
Variable ; TABLE_TYPE_PROP has 0 references ; org.apache.iceberg.BaseMetastoreTableOperations (line:42) ; dead variable
Variable ; ICEBERG_TABLE_TYPE_VALUE has 0 references ; org.apache.iceberg.BaseMetastoreTableOperations (line:43) ; dead variable
Variable ; METADATA_LOCATION_PROP has 0 references ; org.apache.iceberg.BaseMetastoreTableOperations (line:44) ; dead variable
Variable ; PREVIOUS_METADATA_LOCATION_PROP has 0 references ; org.apache.iceberg.BaseMetastoreTableOperations (line:45) ; dead variable
Variable ; INITIAL_SEQUENCE_NUMBER has 0 references ; org.apache.iceberg.BaseSnapshot (line:36) ; dead variable
Variable ; URI has 0 references ; org.apache.iceberg.CatalogProperties (line:33) ; dead variable
Variable ; CLIENT_POOL_SIZE has 0 references ; org.apache.iceberg.CatalogProperties (line:34) ; dead variable
Variable ; CLIENT_POOL_SIZE_DEFAULT has 0 references ; org.apache.iceberg.CatalogProperties (line:35) ; dead variable
Variable ; LOCK_IMPL has 0 references ; org.apache.iceberg.CatalogProperties (line:37) ; dead variable
Variable ; LOCK_HEARTBEAT_INTERVAL_MS has 0 references ; org.apache.iceberg.CatalogProperties (line:39) ; dead variable
Variable ; LOCK_HEARTBEAT_INTERVAL_MS_DEFAULT has 0 references ; org.apache.iceberg.CatalogProperties (line:40) ; dead variable
Variable ; LOCK_HEARTBEAT_TIMEOUT_MS has 0 references ; org.apache.iceberg.CatalogProperties (line:42) ; dead variable
Variable ; LOCK_HEARTBEAT_TIMEOUT_MS_DEFAULT has 0 references ; org.apache.iceberg.CatalogProperties (line:43) ; dead variable
Variable ; LOCK_HEARTBEAT_THREADS has 0 references ; org.apache.iceberg.CatalogProperties (line:45) ; dead variable
Variable ; LOCK_HEARTBEAT_THREADS_DEFAULT has 0 references ; org.apache.iceberg.CatalogProperties (line:46) ; dead variable
Variable ; LOCK_ACQUIRE_INTERVAL_MS has 0 references ; org.apache.iceberg.CatalogProperties (line:48) ; dead variable
Variable ; LOCK_ACQUIRE_INTERVAL_MS_DEFAULT has 0 references ; org.apache.iceberg.CatalogProperties (line:49) ; dead variable
Variable ; LOCK_ACQUIRE_TIMEOUT_MS has 0 references ; org.apache.iceberg.CatalogProperties (line:51) ; dead variable
