Variable ; INCLUDE_DEPENDENT has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\browsing\Engine.java(line:62) ; dead variable
Variable ; selected has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\browsing\facets\NominalFacetChoice.java(line:49) ; dead variable
Variable ; _baseNumericCount has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\browsing\facets\RangeFacet.java(line:155) ; dead variable
Variable ; _baseNonNumericCount has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\browsing\facets\RangeFacet.java(line:157) ; dead variable
Variable ; _baseBlankCount has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\browsing\facets\RangeFacet.java(line:159) ; dead variable
Variable ; _baseErrorCount has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\browsing\facets\RangeFacet.java(line:161) ; dead variable
Variable ; _numericCount has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\browsing\facets\RangeFacet.java(line:164) ; dead variable
Variable ; _nonNumericCount has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\browsing\facets\RangeFacet.java(line:166) ; dead variable
Variable ; _blankCount has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\browsing\facets\RangeFacet.java(line:168) ; dead variable
Variable ; _errorCount has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\browsing\facets\RangeFacet.java(line:170) ; dead variable
Variable ; MIN has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\browsing\facets\RangeFacet.java(line:175) ; dead variable
Variable ; MAX has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\browsing\facets\RangeFacet.java(line:176) ; dead variable
Variable ; TO has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\browsing\facets\RangeFacet.java(line:177) ; dead variable
Variable ; FROM has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\browsing\facets\RangeFacet.java(line:178) ; dead variable
Variable ; rotation_str has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\browsing\facets\ScatterplotFacet.java(line:102) ; dead variable
Variable ; NAME has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\browsing\facets\ScatterplotFacet.java(line:187) ; dead variable
Variable ; COLOR has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\browsing\facets\ScatterplotFacet.java(line:189) ; dead variable
Variable ; BASE_COLOR has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\browsing\facets\ScatterplotFacet.java(line:190) ; dead variable
Variable ; SIZE has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\browsing\facets\ScatterplotFacet.java(line:191) ; dead variable
Variable ; DOT has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\browsing\facets\ScatterplotFacet.java(line:193) ; dead variable
Variable ; DIM_X has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\browsing\facets\ScatterplotFacet.java(line:194) ; dead variable
Variable ; DIM_Y has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\browsing\facets\ScatterplotFacet.java(line:195) ; dead variable
Variable ; X_COLUMN_NAME has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\browsing\facets\ScatterplotFacet.java(line:197) ; dead variable
Variable ; X_EXPRESSION has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\browsing\facets\ScatterplotFacet.java(line:198) ; dead variable
Variable ; MIN_X has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\browsing\facets\ScatterplotFacet.java(line:199) ; dead variable
Variable ; MAX_X has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\browsing\facets\ScatterplotFacet.java(line:200) ; dead variable
Variable ; TO_X has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\browsing\facets\ScatterplotFacet.java(line:201) ; dead variable
Variable ; FROM_X has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\browsing\facets\ScatterplotFacet.java(line:202) ; dead variable
Variable ; ERROR_X has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\browsing\facets\ScatterplotFacet.java(line:203) ; dead variable
Variable ; Y_COLUMN_NAME has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\browsing\facets\ScatterplotFacet.java(line:205) ; dead variable
Variable ; Y_EXPRESSION has 0 references ; D:\Project\openSource\OpenRefine-3.4.1\main\src\com\google\refine\browsing\facets\ScatterplotFacet.java(line:206) ; dead variable
