Dead Variable with AST. Total elapse time: 150.343 seconds.
Variable ; nextAnnotation has 0 references ; org.springframework.asm.AnnotationWriter (line:91) ; dead variable
Variable ; data has 0 references ; org.springframework.asm.AnnotationWriter (line:312) ; dead variable
Variable ; currentData has 0 references ; org.springframework.asm.ByteVector (line:96) ; dead variable
Variable ; currentData has 0 references ; org.springframework.asm.ByteVector (line:114) ; dead variable
Variable ; currentData has 0 references ; org.springframework.asm.ByteVector (line:134) ; dead variable
Variable ; currentData has 0 references ; org.springframework.asm.ByteVector (line:156) ; dead variable
Variable ; currentData has 0 references ; org.springframework.asm.ByteVector (line:176) ; dead variable
Variable ; currentData has 0 references ; org.springframework.asm.ByteVector (line:199) ; dead variable
Variable ; currentData has 0 references ; org.springframework.asm.ByteVector (line:220) ; dead variable
Variable ; currentData has 0 references ; org.springframework.asm.ByteVector (line:252) ; dead variable
Variable ; doubleCapacity has 0 references ; org.springframework.asm.ByteVector (line:355) ; dead variable
Variable ; minimalCapacity has 0 references ; org.springframework.asm.ByteVector (line:356) ; dead variable
Variable ; INPUT_STREAM_DATA_CHUNK_SIZE has 0 references ; org.springframework.asm.ClassReader (line:92) ; dead variable
Variable ; hasConstantDynamic has 0 references ; org.springframework.asm.ClassReader (line:211) ; dead variable
Variable ; wideJumpOpcodeDelta has 0 references ; org.springframework.asm.ClassReader (line:2024) ; dead variable
Variable ; locals has 0 references ; org.springframework.asm.ClassReader (line:3181) ; dead variable
Variable ; tag has 0 references ; org.springframework.asm.ClassReader (line:3361) ; dead variable
Variable ; serialVersionUID has 0 references ; org.springframework.asm.ClassTooLargeException (line:37) ; dead variable
Variable ; ILOAD_1 has 0 references ; org.springframework.asm.Constants (line:98) ; dead variable
Variable ; ILOAD_2 has 0 references ; org.springframework.asm.Constants (line:99) ; dead variable
Variable ; ILOAD_3 has 0 references ; org.springframework.asm.Constants (line:100) ; dead variable
Variable ; LLOAD_0 has 0 references ; org.springframework.asm.Constants (line:101) ; dead variable
Variable ; LLOAD_1 has 0 references ; org.springframework.asm.Constants (line:102) ; dead variable
Variable ; LLOAD_2 has 0 references ; org.springframework.asm.Constants (line:103) ; dead variable
Variable ; LLOAD_3 has 0 references ; org.springframework.asm.Constants (line:104) ; dead variable
Variable ; FLOAD_0 has 0 references ; org.springframework.asm.Constants (line:105) ; dead variable
Variable ; FLOAD_1 has 0 references ; org.springframework.asm.Constants (line:106) ; dead variable
Variable ; FLOAD_2 has 0 references ; org.springframework.asm.Constants (line:107) ; dead variable
Variable ; FLOAD_3 has 0 references ; org.springframework.asm.Constants (line:108) ; dead variable
Variable ; DLOAD_0 has 0 references ; org.springframework.asm.Constants (line:109) ; dead variable
Variable ; DLOAD_1 has 0 references ; org.springframework.asm.Constants (line:110) ; dead variable
Variable ; DLOAD_2 has 0 references ; org.springframework.asm.Constants (line:111) ; dead variable
Variable ; DLOAD_3 has 0 references ; org.springframework.asm.Constants (line:112) ; dead variable
Variable ; ALOAD_0 has 0 references ; org.springframework.asm.Constants (line:113) ; dead variable
Variable ; ALOAD_1 has 0 references ; org.springframework.asm.Constants (line:114) ; dead variable
Variable ; ALOAD_2 has 0 references ; org.springframework.asm.Constants (line:115) ; dead variable
Variable ; ALOAD_3 has 0 references ; org.springframework.asm.Constants (line:116) ; dead variable
Variable ; ISTORE_1 has 0 references ; org.springframework.asm.Constants (line:118) ; dead variable
Variable ; ISTORE_2 has 0 references ; org.springframework.asm.Constants (line:119) ; dead variable
Variable ; ISTORE_3 has 0 references ; org.springframework.asm.Constants (line:120) ; dead variable
Variable ; LSTORE_0 has 0 references ; org.springframework.asm.Constants (line:121) ; dead variable
Variable ; LSTORE_1 has 0 references ; org.springframework.asm.Constants (line:122) ; dead variable
Variable ; LSTORE_2 has 0 references ; org.springframework.asm.Constants (line:123) ; dead variable
Variable ; LSTORE_3 has 0 references ; org.springframework.asm.Constants (line:124) ; dead variable
Variable ; FSTORE_0 has 0 references ; org.springframework.asm.Constants (line:125) ; dead variable
Variable ; FSTORE_1 has 0 references ; org.springframework.asm.Constants (line:126) ; dead variable
Variable ; FSTORE_2 has 0 references ; org.springframework.asm.Constants (line:127) ; dead variable
Variable ; FSTORE_3 has 0 references ; org.springframework.asm.Constants (line:128) ; dead variable
Variable ; DSTORE_0 has 0 references ; org.springframework.asm.Constants (line:129) ; dead variable
Variable ; DSTORE_1 has 0 references ; org.springframework.asm.Constants (line:130) ; dead variable
Variable ; DSTORE_2 has 0 references ; org.springframework.asm.Constants (line:131) ; dead variable
Variable ; DSTORE_3 has 0 references ; org.springframework.asm.Constants (line:132) ; dead variable
Variable ; ASTORE_0 has 0 references ; org.springframework.asm.Constants (line:133) ; dead variable
Variable ; ASTORE_1 has 0 references ; org.springframework.asm.Constants (line:134) ; dead variable
Variable ; ASTORE_2 has 0 references ; org.springframework.asm.Constants (line:135) ; dead variable
Variable ; ASTORE_3 has 0 references ; org.springframework.asm.Constants (line:136) ; dead variable
Variable ; ASM_IFEQ has 0 references ; org.springframework.asm.Constants (line:157) ; dead variable
Variable ; ASM_IFNE has 0 references ; org.springframework.asm.Constants (line:158) ; dead variable
Variable ; ASM_IFLT has 0 references ; org.springframework.asm.Constants (line:159) ; dead variable
Variable ; ASM_IFGE has 0 references ; org.springframework.asm.Constants (line:160) ; dead variable
Variable ; ASM_IFGT has 0 references ; org.springframework.asm.Constants (line:161) ; dead variable
Variable ; ASM_IFLE has 0 references ; org.springframework.asm.Constants (line:162) ; dead variable
Variable ; ASM_IF_ICMPEQ has 0 references ; org.springframework.asm.Constants (line:163) ; dead variable
Variable ; ASM_IF_ICMPNE has 0 references ; org.springframework.asm.Constants (line:164) ; dead variable
Variable ; ASM_IF_ICMPLT has 0 references ; org.springframework.asm.Constants (line:165) ; dead variable
Variable ; ASM_IF_ICMPGE has 0 references ; org.springframework.asm.Constants (line:166) ; dead variable
Variable ; ASM_IF_ICMPGT has 0 references ; org.springframework.asm.Constants (line:167) ; dead variable
Variable ; ASM_IF_ICMPLE has 0 references ; org.springframework.asm.Constants (line:168) ; dead variable
Variable ; ASM_IF_ACMPEQ has 0 references ; org.springframework.asm.Constants (line:169) ; dead variable
