Variable ; bytesRead has 0 references ; D:\Project\Test Project\MementoPattern\src\CareTaker.java(line:10) ; dead variable
Variable ; d has 0 references ; D:\Project\Test Project\MementoPattern\src\main.java(line:54) ; dead variable
Variable ; price has 0 references ; D:\Project\Test Project\MementoPattern\src\Menu.java(line:31) ; dead variable
Variable ; copy has 0 references ; D:\Project\Test Project\MementoPattern\src\Menu.java(line:77) ; dead variable
Variable ; cont has 0 references ; D:\Project\Test Project\MementoPattern\src\Menu.java(line:114) ; dead variable
Variable ; newPrice has 0 references ; D:\Project\Test Project\MementoPattern\src\Menu.java(line:115) ; dead variable
Variable ; cont has 0 references ; D:\Project\Test Project\MementoPattern\src\Menu.java(line:150) ; dead variable
Variable ; bookPrice has 0 references ; D:\Project\Test Project\MementoPattern\src\Menu.java(line:152) ; dead variable
Variable ; cont has 0 references ; D:\Project\Test Project\MementoPattern\src\Menu.java(line:172) ; dead variable
Variable ; bookPrice has 0 references ; D:\Project\Test Project\MementoPattern\src\Menu.java(line:174) ; dead variable
Variable ; cont has 0 references ; D:\Project\Test Project\MementoPattern\src\Menu.java(line:195) ; dead variable
Variable ; copy has 0 references ; D:\Project\Test Project\MementoPattern\src\Menu.java(line:196) ; dead variable
